Term,LoanStatus,BorrowerAPR,ProsperScore,ListingCategory (numeric),BorrowerState,EmploymentStatus,IncomeRange,LoanOriginalAmount
36,Completed,0.24753,,0,,Full-time,"$75,000-99,999",2500
60,Current,0.14453,8.0,1,SC,Employed,"$75,000-99,999",10000
36,Completed,0.17722,,0,CA,Not available,Not displayed,10000
36,Current,0.35797,4.0,2,CO,Employed,"$25,000-49,999",3500
36,Completed,0.33665,5.0,2,NJ,Employed,"$25,000-49,999",4000
36,Current,0.21945,3.0,1,TX,Employed,"$75,000-99,999",10000
60,Completed,0.18136,7.0,1,CA,Employed,"$50,000-74,999",20000
60,Current,0.31344,7.0,1,NH,Employed,"$50,000-74,999",7500
36,Current,0.29537,2.0,19,NE,Employed,"$50,000-74,999",5000
60,Current,0.21566,4.0,1,PA,Employed,"$50,000-74,999",10000
60,Chargedoff,0.29371,5.0,1,MN,Employed,"$50,000-74,999",11000
36,Chargedoff,0.2951,6.0,2,NY,Employed,"$25,000-49,999",6000
36,Completed,0.17322,,1,IL,Full-time,"$25,000-49,999",4000
36,Completed,0.28851,6.0,7,CA,Other,"$1-24,999",2000
60,Current,0.2214,6.0,13,TX,Employed,"$50,000-74,999",2000
36,Current,0.35356,7.0,1,FL,Employed,"$1-24,999",4000
60,Past Due (16-30 days),0.27554,7.0,1,TN,Employed,"$25,000-49,999",5000
60,Current,0.19323,7.0,1,TX,Employed,"$25,000-49,999",10000
60,Current,0.20398,4.0,1,CO,Employed,"$75,000-99,999",25000
36,Completed,0.14914,9.0,1,NY,Employed,"$25,000-49,999",1100
60,Current,0.08626,10.0,1,CA,Employed,"$75,000-99,999",11500
36,Completed,0.22724,,0,CA,Not available,Not displayed,8000
36,FinalPaymentInProgress,0.11766,9.0,18,MA,Full-time,"$100,000+",2500
36,Current,0.15324,8.0,1,PA,Employed,"$75,000-99,999",12000
36,Completed,0.29486,7.0,1,VA,Employed,"$50,000-74,999",2500
36,Completed,0.25781,6.0,1,MI,Employed,"$50,000-74,999",12500
36,Current,0.14348,9.0,1,CT,Employed,"$100,000+",35000
36,Completed,0.09221,10.0,6,CO,Full-time,"$50,000-74,999",2000
36,Past Due (1-15 days),0.2533,3.0,1,GA,Employed,"$50,000-74,999",8000
36,Completed,0.09537,,0,GA,Not available,Not displayed,3001
36,Current,0.12691,9.0,1,OR,Employed,"$75,000-99,999",25000
36,Current,0.35797,5.0,3,CA,Self-employed,"$75,000-99,999",4000
36,Completed,0.12946,,0,,,Not displayed,1200
36,Chargedoff,0.25259,7.0,1,NJ,Employed,"$50,000-74,999",13000
36,Current,0.15324,10.0,1,NJ,Employed,"$100,000+",35000
36,Current,0.19144,6.0,6,CO,Employed,"$50,000-74,999",5500
36,Completed,0.20471,,0,MD,Full-time,"$50,000-74,999",7500
60,Current,0.26333,5.0,1,NJ,Employed,"$50,000-74,999",10000
36,Chargedoff,0.2995,,4,CA,Full-time,"$25,000-49,999",3000
36,Current,0.19236,6.0,1,FL,Employed,"$25,000-49,999",4000
36,Current,0.35797,6.0,15,IL,Employed,"$75,000-99,999",2500
36,Past Due (61-90 days),0.3179,3.0,7,WA,Employed,"$75,000-99,999",4000
36,Current,0.21372,8.0,1,KY,Employed,"$1-24,999",3000
60,Current,0.18965,9.0,1,AZ,Employed,"$100,000+",25000
36,Defaulted,0.29776,,0,OR,Not available,Not displayed,3000
36,Completed,0.09728,,0,CA,Full-time,"$100,000+",1000
36,Current,0.16324,7.0,1,AL,Employed,"$25,000-49,999",15000
36,Current,0.18986,5.0,1,OK,Retired,"$25,000-49,999",13000
36,Current,0.13697,10.0,19,CA,Employed,"$100,000+",15000
36,Completed,0.202,8.0,2,MI,Employed,"$75,000-99,999",3000
36,Defaulted,0.09728,,5,CO,Full-time,"$50,000-74,999",1000
36,Current,0.25013,5.0,1,VA,Employed,"$50,000-74,999",2000
36,Current,0.14714,10.0,1,DC,Employed,"$100,000+",15000
36,Current,0.30532,6.0,3,IL,Self-employed,"$25,000-49,999",10000
36,Completed,0.12048,,1,CA,Full-time,"$50,000-74,999",5000
36,Current,0.15833,8.0,1,NY,Employed,"$100,000+",3000
36,Current,0.26917,4.0,15,LA,Employed,"$50,000-74,999",10000
60,Chargedoff,0.29464,6.0,1,NC,Employed,"$25,000-49,999",11500
36,Completed,0.15412,,0,,Not available,Not displayed,5000
36,Current,0.13697,7.0,3,PA,Employed,"$75,000-99,999",17250
36,Chargedoff,0.1968,,0,OK,Full-time,"$50,000-74,999",8000
36,Completed,0.12201,,7,IL,Full-time,"$25,000-49,999",5500
36,Current,0.18275,7.0,1,CA,Employed,"$25,000-49,999",15000
36,Current,0.19029,5.0,19,WI,Employed,"$1-24,999",2000
36,Completed,0.28974,6.0,7,NV,Employed,"$25,000-49,999",6000
60,Current,0.1325,4.0,8,CA,Employed,"$50,000-74,999",15000
60,Completed,0.26528,7.0,1,FL,Employed,"$50,000-74,999",20000
36,Current,0.08496,10.0,1,MN,Employed,"$25,000-49,999",13500
36,Chargedoff,0.2476,,0,CA,Part-time,"$50,000-74,999",2600
60,Current,0.15844,8.0,1,NJ,Employed,"$100,000+",25000
60,Current,0.21566,5.0,3,NJ,Self-employed,"$75,000-99,999",10000
36,Current,0.30848,2.0,1,NJ,Other,"$1-24,999",4000
60,Completed,0.15404,10.0,18,PA,Employed,"$100,000+",11500
60,Current,0.17839,8.0,1,CT,Employed,"$50,000-74,999",15000
36,Completed,0.124,8.0,1,CA,Full-time,"$100,000+",5930
36,Current,0.12782,8.0,3,NY,Employed,"$75,000-99,999",20000
36,Completed,0.1756,,0,NY,,Not displayed,1000
36,Current,0.15833,5.0,1,VA,Other,"$25,000-49,999",4000
36,Current,0.22108,5.0,7,CA,Employed,"$75,000-99,999",5000
36,Current,0.28544,3.0,1,NY,Employed,"$25,000-49,999",6000
36,Current,0.27776,4.0,1,MO,Employed,"$100,000+",10000
60,Current,0.19988,5.0,1,MD,Employed,"$50,000-74,999",15000
36,Defaulted,0.2626,,0,,Full-time,"$1-24,999",5050
36,Defaulted,0.32791,,0,,,Not displayed,3000
36,Current,0.14348,8.0,7,WV,Employed,"$100,000+",3500
36,Chargedoff,0.18224,,0,IA,Full-time,$0,18000
36,Completed,0.13799,9.0,7,FL,Employed,"$50,000-74,999",2000
36,Past Due (31-60 days),0.35356,4.0,13,GA,Other,"$1-24,999",4000
60,Current,0.25625,3.0,1,CA,Employed,"$50,000-74,999",10000
60,Current,0.14965,6.0,1,IL,Employed,"$75,000-99,999",20000
36,Current,0.09434,9.0,1,MT,Employed,"$50,000-74,999",15000
36,Completed,0.28892,9.0,2,TN,Full-time,"$25,000-49,999",1000
36,Completed,0.12562,,3,NC,Self-employed,"$1-24,999",5000
60,Current,0.16662,9.0,1,CA,Employed,"$75,000-99,999",14000
36,Current,0.30285,3.0,1,CA,Employed,"$25,000-49,999",4000
36,Current,0.22742,3.0,1,IL,Employed,"$100,000+",8500
36,Completed,0.11143,,0,,Full-time,"$50,000-74,999",1000
36,Completed,0.13182,,0,FL,Full-time,"$1-24,999",7000
60,Current,0.15844,8.0,1,WI,Employed,"$100,000+",25000
36,Completed,0.11897,,1,AZ,Self-employed,"$1-24,999",5650
36,Current,0.28339,7.0,1,MA,Employed,"$100,000+",10000
36,Completed,0.125,,0,MN,Full-time,"$25,000-49,999",5000
36,Completed,0.22362,6.0,1,KS,Employed,"$25,000-49,999",3000
36,Current,0.09065,11.0,1,CT,Employed,"$100,000+",20000
60,Current,0.18555,4.0,1,HI,Employed,"$50,000-74,999",15000
36,Completed,0.13649,,0,,Not available,Not displayed,1000
36,Current,0.22108,8.0,1,TX,Employed,"$75,000-99,999",25000
36,Current,0.32446,2.0,1,NY,Employed,"$25,000-49,999",4000
12,Completed,0.35843,5.0,7,CA,Employed,"$100,000+",7500
36,Completed,0.34621,5.0,1,NC,Employed,"$50,000-74,999",7500
36,Completed,0.25424,7.0,1,MN,Full-time,"$50,000-74,999",7500
36,Chargedoff,0.35575,,7,AL,Full-time,"$100,000+",5000
60,Current,0.20593,7.0,2,TX,Employed,"$100,000+",10000
36,Past Due (31-60 days),0.34045,1.0,18,WI,Employed,"$100,000+",4000
36,Current,0.15223,6.0,1,NY,Employed,"$75,000-99,999",20000
36,Completed,0.127,,0,,Full-time,"$25,000-49,999",10000
36,Completed,0.23682,10.0,1,MA,Full-time,"$50,000-74,999",1000
60,Completed,0.22601,4.0,1,PA,Employed,"$25,000-49,999",10000
36,Chargedoff,0.29776,,0,,Not available,Not displayed,2500
60,Current,0.19364,6.0,1,MA,Other,"$50,000-74,999",15000
36,Completed,0.26526,,0,,Full-time,"$25,000-49,999",3001
36,Completed,0.22439,,0,,Full-time,"$25,000-49,999",3000
36,Current,0.25781,6.0,1,IL,Employed,"$25,000-49,999",7500
36,Completed,0.37733,6.0,6,MO,Full-time,"$25,000-49,999",1500
36,Completed,0.12511,9.0,1,TN,Full-time,"$50,000-74,999",5500
36,Completed,0.15629,,3,MI,Self-employed,"$100,000+",10000
36,Completed,0.09688,,0,MD,Full-time,"$25,000-49,999",8600
36,Current,0.18275,6.0,8,TX,Employed,"$50,000-74,999",3000
60,Current,0.17685,7.0,1,NH,Employed,"$100,000+",35000
36,Current,0.14714,10.0,1,OH,Employed,"$50,000-74,999",5000
60,Chargedoff,0.24302,5.0,2,FL,Employed,"$25,000-49,999",10000
36,Completed,0.37453,,7,FL,Full-time,"$25,000-49,999",1000
36,Current,0.35356,5.0,1,OH,Other,"$1-24,999",4000
36,Past Due (61-90 days),0.35356,3.0,1,NY,Employed,"$50,000-74,999",4000
36,Current,0.13799,8.0,1,GA,Employed,"$75,000-99,999",7168
60,Current,0.21566,5.0,1,VA,Employed,"$100,000+",15000
60,Current,0.20398,6.0,13,GA,Employed,"$75,000-99,999",11500
36,Completed,0.37453,,1,NV,Part-time,"$50,000-74,999",5000
36,Completed,0.18751,6.0,1,FL,Employed,"$50,000-74,999",7800
36,Defaulted,0.09387,,0,DE,Not available,Not displayed,3000
36,Chargedoff,0.2124,3.0,1,CT,Full-time,"$50,000-74,999",5000
36,Defaulted,0.38723,1.0,1,AK,Full-time,"$50,000-74,999",7500
36,Completed,0.35797,3.0,13,AZ,Employed,"$50,000-74,999",3000
36,Chargedoff,0.30532,5.0,1,CT,Self-employed,"$25,000-49,999",7500
36,Completed,0.12916,9.0,1,TX,Employed,"$25,000-49,999",3000
36,Completed,0.18824,,0,,Full-time,"$25,000-49,999",1000
36,Completed,0.31053,7.0,3,FL,Full-time,"$25,000-49,999",7500
36,Current,0.09534,11.0,1,FL,Employed,"$100,000+",20000
36,Current,0.27623,3.0,2,IN,Self-employed,"$50,000-74,999",10000
36,Completed,0.21112,,7,MT,Part-time,"$1-24,999",1750
36,Completed,0.11489,,3,TX,Full-time,"$25,000-49,999",3000
36,Completed,0.28726,8.0,1,MD,Full-time,"$25,000-49,999",3500
60,Current,0.16151,8.0,7,MI,Employed,"$50,000-74,999",13000
36,Completed,0.23383,8.0,1,IL,Employed,"$75,000-99,999",7500
36,Current,0.26383,3.0,20,NY,Employed,"$100,000+",10000
60,Current,0.17522,7.0,1,CA,Employed,"$25,000-49,999",7500
36,Chargedoff,0.35797,2.0,3,NH,Self-employed,"$100,000+",4000
36,Current,0.34793,3.0,1,NJ,Employed,"$25,000-49,999",4000
36,Completed,0.30532,6.0,7,NC,Employed,"$100,000+",3000
36,Current,0.35797,5.0,2,CA,Employed,"$50,000-74,999",4000
36,Completed,0.08641,9.0,1,OK,Full-time,"$25,000-49,999",4200
60,Current,0.20593,4.0,19,CA,Employed,"$25,000-49,999",4000
60,Current,0.15629,8.0,13,NY,Employed,"$50,000-74,999",6000
60,Current,0.15629,6.0,1,CA,Employed,"$25,000-49,999",9500
36,Current,0.12626,10.0,1,NY,Employed,"$100,000+",15000
36,Completed,0.37453,,7,NC,Not employed,Not employed,1000
36,Current,0.16324,8.0,1,IL,Employed,"$75,000-99,999",25000
36,Chargedoff,0.37403,,1,CA,Full-time,"$25,000-49,999",2551
36,Completed,0.29486,6.0,1,OH,Employed,"$50,000-74,999",6000
60,Completed,0.25102,5.0,1,NY,Employed,"$100,000+",18000
60,Current,0.16969,5.0,1,MO,Employed,"$50,000-74,999",9900
36,Current,0.21372,8.0,1,CA,Employed,"$50,000-74,999",6000
36,Completed,0.12386,,0,,Not available,Not displayed,1850
36,Completed,0.15144,5.0,1,FL,Full-time,"$50,000-74,999",2500
36,Chargedoff,0.35797,4.0,1,LA,Employed,"$25,000-49,999",4000
36,Completed,0.35797,3.0,3,TX,Employed,"$100,000+",4000
36,Completed,0.06526,,6,ID,Full-time,"$25,000-49,999",5000
60,Current,0.23462,4.0,1,CT,Employed,"$25,000-49,999",10000
36,Chargedoff,0.19076,,0,IL,Full-time,"$1-24,999",1000
60,Completed,0.29371,3.0,1,OR,Employed,"$25,000-49,999",8000
36,Completed,0.2271,,7,NM,Full-time,"$25,000-49,999",1500
36,Completed,0.30258,9.0,7,CA,Full-time,"$50,000-74,999",1775
36,Current,0.26528,6.0,1,NC,Employed,"$50,000-74,999",13500
60,Current,0.22908,7.0,1,CA,Employed,"$75,000-99,999",9000
36,Chargedoff,0.22584,9.0,1,TX,Full-time,"$1-24,999",1125
36,Completed,0.15993,,0,,Full-time,"$25,000-49,999",1800
36,Current,0.15833,6.0,1,MA,Employed,"$25,000-49,999",17000
36,Completed,0.16667,,3,NY,Full-time,"$100,000+",25000
12,Completed,0.13972,9.0,7,NJ,Employed,"$75,000-99,999",3600
36,Completed,0.14709,,0,,,Not displayed,8000
36,FinalPaymentInProgress,0.35643,3.0,1,IL,Employed,"$50,000-74,999",4000
36,Current,0.2138,8.0,1,IL,Employed,"$75,000-99,999",15000
60,Current,0.31293,2.0,7,NY,Employed,"$50,000-74,999",4000
36,Current,0.35797,3.0,6,WI,Employed,"$50,000-74,999",3000
36,Completed,0.08951,,4,AK,Full-time,"$75,000-99,999",1000
36,Current,0.15833,5.0,1,MA,Employed,"$50,000-74,999",15000
36,Current,0.33215,2.0,1,CA,Employed,"$75,000-99,999",4000
36,Completed,0.12201,,4,CA,Full-time,"$1-24,999",2000
36,Current,0.1802,7.0,1,NH,Employed,"$50,000-74,999",20000
36,Completed,0.36346,5.0,3,IL,Full-time,"$100,000+",4900
60,Current,0.20808,8.0,1,IL,Employed,"$50,000-74,999",20000
36,Current,0.25013,7.0,1,CA,Employed,"$50,000-74,999",11000
36,Chargedoff,0.35797,4.0,1,NY,Employed,"$50,000-74,999",4000
36,Current,0.23939,8.0,19,GA,Employed,"$25,000-49,999",6000
60,Current,0.16499,5.0,1,IL,Employed,"$75,000-99,999",17000
36,Completed,0.25757,,0,OR,Full-time,"$50,000-74,999",3000
60,Current,0.21115,4.0,1,CA,Employed,"$25,000-49,999",10000
36,Current,0.07957,10.0,1,FL,Employed,"$100,000+",20000
36,Current,0.23477,4.0,1,CA,Other,"$75,000-99,999",12000
36,Completed,0.35797,5.0,6,TX,Retired,"$50,000-74,999",4000
36,Current,0.20462,5.0,3,NY,Employed,"$25,000-49,999",10000
36,Current,0.26047,4.0,1,OK,Employed,"$25,000-49,999",10000
60,Current,0.25359,6.0,1,CO,Employed,"$100,000+",11500
36,Completed,0.08641,9.0,2,PA,Full-time,"$75,000-99,999",5000
36,Current,0.3179,2.0,1,IL,Self-employed,"$50,000-74,999",4000
36,Completed,0.22784,10.0,2,NE,Full-time,"$75,000-99,999",1300
36,Completed,0.17677,,1,OR,Part-time,"$25,000-49,999",5000
36,Current,0.22659,3.0,7,IN,Employed,"$1-24,999",4000
36,Current,0.24246,6.0,1,NC,Employed,"$50,000-74,999",10000
60,Current,0.28386,5.0,7,FL,Employed,"$25,000-49,999",4000
36,Chargedoff,0.35797,4.0,3,MD,Employed,"$25,000-49,999",4000
36,Completed,0.18726,,0,,Not available,Not displayed,3000
36,Chargedoff,0.15713,,0,NY,Full-time,"$75,000-99,999",2890
36,Completed,0.17754,7.0,16,IN,Employed,"$100,000+",3000
36,Current,0.202,9.0,2,FL,Employed,"$100,000+",7500
60,Current,0.18965,8.0,1,MO,Employed,"$25,000-49,999",15000
36,Completed,0.28339,5.0,1,FL,Employed,"$50,000-74,999",3500
36,Current,0.30131,2.0,1,CO,Self-employed,"$100,000+",10000
36,Defaulted,0.27263,,0,UT,Self-employed,"$50,000-74,999",11055
36,Completed,0.14357,,0,,Part-time,"$1-24,999",6500
36,Current,0.12117,6.0,1,RI,Self-employed,"$100,000+",15000
36,Completed,0.35797,5.0,1,TN,Employed,"$75,000-99,999",4000
36,Current,0.22712,4.0,6,FL,Employed,"$25,000-49,999",5000
12,Current,0.28525,2.0,7,MI,Employed,"$1-24,999",4000
60,Current,0.13942,8.0,1,NJ,Employed,"$100,000+",15000
36,Chargedoff,0.17211,,4,CT,Full-time,"$25,000-49,999",7500
36,Current,0.28032,2.0,1,KS,Employed,"$50,000-74,999",4000
36,Completed,0.12782,8.0,3,TX,Employed,"$1-24,999",5000
36,Completed,0.20735,,0,AL,Full-time,"$25,000-49,999",5000
36,Completed,0.35643,5.0,1,MN,Employed,"$50,000-74,999",2500
36,Chargedoff,0.14006,,0,AZ,Not available,Not displayed,6000
36,Current,0.3179,3.0,1,WA,Employed,"$25,000-49,999",4000
36,Completed,0.22372,8.0,1,UT,Full-time,"$100,000+",5000
36,Completed,0.27467,2.0,1,AL,Full-time,"$25,000-49,999",3000
36,Completed,0.21685,,0,MI,,Not displayed,1100
36,Chargedoff,0.28827,,1,IL,Full-time,"$50,000-74,999",5975
36,Current,0.13697,5.0,3,CO,Employed,"$75,000-99,999",20000
36,Current,0.35643,3.0,2,MA,Employed,"$50,000-74,999",2000
36,Current,0.11548,7.0,1,TX,Employed,"$50,000-74,999",15000
36,Chargedoff,0.29776,,0,CA,Self-employed,"$50,000-74,999",25000
36,Completed,0.38723,5.0,1,KS,Employed,"$25,000-49,999",4000
36,Completed,0.14974,,1,GA,Full-time,"$25,000-49,999",10000
60,Current,0.15783,7.0,1,TX,Employed,"$50,000-74,999",19000
36,Current,0.33215,2.0,1,NC,Self-employed,"$75,000-99,999",4000
36,Completed,0.36912,1.0,7,TX,Employed,"$50,000-74,999",1800
36,Completed,0.25466,,0,CA,Full-time,"$1-24,999",2551
36,Current,0.10993,9.0,1,KY,Employed,"$25,000-49,999",5000
36,Current,0.13301,5.0,1,TX,Employed,"$100,000+",14000
36,Current,0.24758,7.0,6,IL,Employed,"$1-24,999",2000
36,Current,0.35356,2.0,7,FL,Employed,"$1-24,999",4000
36,Completed,0.21739,,0,CA,Full-time,"$75,000-99,999",5000
60,Current,0.3302,4.0,1,AL,Employed,"$50,000-74,999",10000
36,Current,0.35797,6.0,19,KS,Employed,"$25,000-49,999",2000
36,Defaulted,0.29776,,0,TX,Not available,Not displayed,3000
36,Chargedoff,0.14709,,0,FL,Self-employed,"$75,000-99,999",15000
36,Current,0.31032,5.0,1,IL,Employed,"$100,000+",4000
36,Completed,0.07872,,7,TX,Full-time,"$75,000-99,999",2000
60,Current,0.17522,7.0,1,MN,Employed,"$25,000-49,999",10000
60,Current,0.22283,6.0,1,NV,Employed,"$50,000-74,999",15000
36,Completed,0.21434,8.0,7,VA,Employed,"$50,000-74,999",2000
36,Current,0.14409,9.0,1,GA,Employed,"$75,000-99,999",20000
36,Completed,0.1717,8.0,1,NY,Full-time,"$75,000-99,999",5000
36,Current,0.08325,10.0,7,MA,Employed,"$100,000+",15000
36,FinalPaymentInProgress,0.34577,5.0,6,IL,Employed,"$25,000-49,999",2000
36,Completed,0.11898,,1,NY,Full-time,"$100,000+",10000
36,Current,0.21699,7.0,1,FL,Employed,"$100,000+",19000
36,Completed,0.07539,10.0,7,MD,Full-time,"$50,000-74,999",2500
36,Current,0.12081,9.0,1,IN,Employed,"$75,000-99,999",25000
36,Chargedoff,0.38296,6.0,7,MS,Full-time,"$25,000-49,999",1250
36,Chargedoff,0.21488,,0,,,Not displayed,7000
36,Completed,0.13068,9.0,1,FL,Employed,"$100,000+",15000
36,Defaulted,0.24753,,0,,Not available,Not displayed,4200
36,Current,0.27305,4.0,1,NV,Other,"$25,000-49,999",10000
36,Completed,0.15833,,1,NE,Full-time,"$50,000-74,999",1000
60,Current,0.2278,7.0,1,IL,Employed,"$25,000-49,999",10000
36,Current,0.35797,5.0,7,KS,Employed,"$25,000-49,999",2000
36,Current,0.24246,7.0,13,AL,Employed,"$25,000-49,999",5000
60,Current,0.21576,7.0,1,MI,Employed,"$50,000-74,999",15000
36,Completed,0.24758,5.0,14,AL,Employed,"$50,000-74,999",5000
36,Current,0.17151,2.0,15,TX,Employed,"$75,000-99,999",11050
60,Current,0.13227,10.0,1,IN,Full-time,"$75,000-99,999",22000
60,Current,0.19323,9.0,1,OH,Employed,"$75,000-99,999",25000
36,Chargedoff,0.17495,,4,CA,Full-time,"$1-24,999",3000
36,Chargedoff,0.20684,,1,GA,Full-time,"$50,000-74,999",5000
60,Past Due (1-15 days),0.28848,3.0,1,IL,Employed,"$25,000-49,999",4000
36,Current,0.22712,3.0,1,UT,Employed,"$25,000-49,999",15000
36,Defaulted,0.27306,,4,AL,Full-time,"$25,000-49,999",2500
36,Current,0.32488,2.0,1,NY,Employed,"$75,000-99,999",4000
36,Current,0.24758,7.0,1,CO,Employed,"$50,000-74,999",4500
36,Completed,0.11435,,0,GA,Full-time,"$50,000-74,999",10500
36,Defaulted,0.37453,,1,IN,Full-time,"$50,000-74,999",2000
60,Current,0.28848,6.0,3,TX,Self-employed,"$100,000+",7000
36,Completed,0.21372,8.0,13,WI,Employed,"$50,000-74,999",3000
36,Current,0.202,8.0,1,NC,Employed,"$25,000-49,999",7000
36,Current,0.22108,4.0,1,SC,Employed,"$50,000-74,999",17000
60,Completed,0.16487,8.0,1,NC,Full-time,"$25,000-49,999",5000
60,Current,0.26128,3.0,14,CA,Full-time,"$75,000-99,999",3000
36,Current,0.20053,4.0,1,WA,Employed,"$50,000-74,999",15000
36,Current,0.13138,7.0,2,TN,Employed,"$50,000-74,999",4500
36,Completed,0.35797,3.0,3,TX,Employed,"$50,000-74,999",4000
36,Current,0.14348,8.0,1,NY,Employed,"$25,000-49,999",5000
60,Current,0.16969,5.0,1,WA,Employed,"$75,000-99,999",14000
36,Current,0.22108,6.0,1,MI,Employed,"$50,000-74,999",12000
36,Chargedoff,0.19052,,0,FL,,Not displayed,1400
36,Completed,0.35643,5.0,2,KY,Employed,"$25,000-49,999",2000
60,Current,0.20705,6.0,1,UT,Employed,"$25,000-49,999",11500
12,Completed,0.35843,4.0,3,UT,Self-employed,"$25,000-49,999",2500
60,Current,0.2214,4.0,1,CA,Employed,"$50,000-74,999",15000
36,Current,0.28544,4.0,7,PA,Employed,"$25,000-49,999",10000
36,Completed,0.35797,5.0,7,MD,Employed,"$50,000-74,999",4000
36,Current,0.14409,7.0,1,MI,Employed,"$75,000-99,999",20000
36,Completed,0.26528,5.0,1,CA,Employed,"$50,000-74,999",4000
60,Current,0.26128,5.0,1,IL,Employed,"$50,000-74,999",14000
36,Completed,0.33973,3.0,1,GA,Employed,"$25,000-49,999",4000
36,Completed,0.2706,3.0,12,CA,Employed,"$75,000-99,999",15000
36,Current,0.11563,8.0,1,CA,Employed,"$50,000-74,999",20000
36,Current,0.3179,2.0,6,MI,Full-time,"$50,000-74,999",4000
60,Current,0.16294,7.0,1,IL,Employed,"$25,000-49,999",10000
60,Current,0.13636,8.0,1,NV,Employed,"$25,000-49,999",10000
60,Completed,0.21566,7.0,1,CA,Employed,"$100,000+",25000
36,Completed,0.07429,,3,OR,Full-time,"$50,000-74,999",2500
36,Completed,0.1501,,0,,Not available,Not displayed,2550
60,Current,0.20808,8.0,1,PA,Employed,"$25,000-49,999",10000
36,Chargedoff,0.35858,6.0,7,FL,Employed,"$1-24,999",3000
36,Completed,0.17322,10.0,1,CA,Employed,"$75,000-99,999",12000
36,Current,0.09333,7.0,3,FL,Employed,"$100,000+",5000
36,Current,0.21176,6.0,1,FL,Employed,"$50,000-74,999",8000
36,Completed,0.19991,,0,,Full-time,"$25,000-49,999",5000
60,Current,0.1476,10.0,7,MI,Employed,"$50,000-74,999",13000
36,Past Due (91-120 days),0.19108,10.0,1,GA,Employed,"$50,000-74,999",3000
36,Current,0.09837,10.0,1,CO,Employed,"$75,000-99,999",12000
36,Current,0.08325,10.0,6,MI,Full-time,"$25,000-49,999",3000
36,Completed,0.09643,8.0,7,IL,Full-time,"$25,000-49,999",10000
36,Current,0.14243,5.0,1,MO,Self-employed,"$25,000-49,999",8000
36,Completed,0.37453,,4,CO,Full-time,"$50,000-74,999",4000
36,Completed,0.21372,10.0,3,FL,Employed,"$100,000+",15000
60,Current,0.21474,3.0,1,MI,Employed,"$50,000-74,999",9000
36,Completed,0.10921,,0,CT,Not available,Not displayed,1700
36,Current,0.15324,9.0,1,CA,Employed,"$75,000-99,999",7000
36,Defaulted,0.15629,,4,FL,Full-time,"$25,000-49,999",6000
36,Past Due (1-15 days),0.17192,6.0,18,AZ,Employed,"$100,000+",10000
36,Completed,0.1717,8.0,1,MN,Full-time,"$25,000-49,999",5000
36,Completed,0.17677,,1,IN,Full-time,"$1-24,999",2500
